regn_no,semester,subject_code,credits,grade_point,grade
2311055,3,CE 202,3,9.0,AB
2311055,3,CE 203,3,10.0,AA
2311055,3,CE 204,4,9.0,AB
2311055,3,CE 205,3,7.0,BC
2311055,3,CE 211,2,10.0,AA
2311055,3,CE 212,2,9.0,AB
2311055,3,CE 213,2,9.0,AB
2311055,3,MA 201,4,6.0,CC
2311056,3,CE 201,4,6.0,CC
2311056,3,CE 202,3,7.0,BC
2311056,3,CE 203,3,8.0,BB
2311056,3,CE 204,4,7.0,BC
2311056,3,CE 205,3,8.0,BB
2311056,3,CE 211,2,10.0,AA
2311056,3,CE 212,2,7.0,BC
2311056,3,CE 213,2,8.0,BB
2311056,3,MA 201,4,8.0,BB
2311057,3,CE 201,4,6.0,CC
2311057,3,CE 202,3,9.0,AB
2311057,3,CE 203,3,8.0,BB
2311057,3,CE 204,4,9.0,AB
2311057,3,CE 205,3,7.0,BC
2311057,3,CE 211,2,10.0,AA
2311057,3,CE 212,2,8.0,BB
2311057,3,CE 213,2,9.0,AB
2311057,3,MA 201,4,6.0,CC
2311059,3,CE 201,4,7.0,BC
2311059,3,CE 202,3,9.0,AB
2311059,3,CE 203,3,10.0,AA
2311059,3,CE 204,4,9.0,AB
2311059,3,CE 205,3,8.0,BB
2311059,3,CE 211,2,10.0,AA
2311059,3,CE 212,2,9.0,AB
2311059,3,CE 213,2,9.0,AB
2311059,3,MA 201,4,7.0,BC
2311060,3,CE 201,4,7.0,BC
2311060,3,CE 202,3,10.0,AA
2311060,3,CE 203,3,9.0,AB
2311060,3,CE 204,4,9.0,AB
2311060,3,CE 205,3,8.0,BB
2311060,3,CE 211,2,10.0,AA
2311060,3,CE 212,2,9.0,AB
2311060,3,CE 213,2,9.0,AB
2311060,3,MA 201,4,7.0,BC
2311061,3,CE 201,4,8.0,BB
2311061,3,CE 202,3,5.0,CD
2311061,3,CE 203,3,7.0,BC
2311061,3,CE 204,4,8.0,BB
2311061,3,CE 205,3,7.0,BC
2311061,3,CE 211,2,10.0,AA
2311061,3,CE 212,2,9.0,AB
2311061,3,CE 213,2,9.0,AB
2311061,3,MA 201,4,6.0,CC
2311062,3,CE 201,4,8.0,BB
2311062,3,CE 202,3,10.0,AA
2311062,3,CE 203,3,9.0,AB
2311062,3,CE 204,4,9.0,AB
2311062,3,CE 205,3,9.0,AB
2311062,3,CE 211,2,10.0,AA
2311062,3,CE 212,2,9.0,AB
2311062,3,CE 213,2,10.0,AA
2311062,3,MA 201,4,5.0,CD
2311063,3,CE 201,4,8.0,BB
2311063,3,CE 202,3,8.0,BB
2311063,3,CE 203,3,10.0,AA
2311063,3,CE 204,4,9.0,AB
2311063,3,CE 205,3,9.0,AB
2311063,3,CE 211,2,10.0,AA
2311063,3,CE 212,2,9.0,AB
2311063,3,CE 213,2,9.0,AB
2311063,3,MA 201,4,8.0,BB
2311064,3,CE 201,4,7.0,BC
2311064,3,CE 202,3,7.0,BC
2311064,3,CE 203,3,8.0,BB
2311064,3,CE 204,4,8.0,BB
2311064,3,CE 205,3,6.0,CC
2311064,3,CE 211,2,10.0,AA
2311064,3,CE 212,2,9.0,AB
2311064,3,CE 213,2,9.0,AB
2311064,3,MA 201,4,7.0,BC
2311065,3,CE 201,4,6.0,CC
2311065,3,CE 202,3,7.0,BC
2311065,3,CE 203,3,5.0,CD
2311065,3,CE 204,4,6.0,CC
2311065,3,CE 205,3,4.0,DD
2311065,3,CE 211,2,10.0,AA
2311065,3,CE 212,2,8.0,BB
2311065,3,CE 213,2,8.0,BB
2311065,3,MA 201,4,5.0,CD
2311066,3,CE 201,4,7.0,BC
2311066,3,CE 202,3,9.0,AB
2311066,3,CE 203,3,10.0,AA
2311066,3,CE 204,4,9.0,AB
2311066,3,CE 205,3,9.0,AB
2311066,3,CE 211,2,10.0,AA
2311066,3,CE 212,2,9.0,AB
2311066,3,CE 213,2,10.0,AA
2311066,3,MA 201,4,7.0,BC
2311067,3,CE 201,4,6.0,CC
2311067,3,CE 202,3,6.0,CC
2311067,3,CE 203,3,8.0,BB
2311067,3,CE 204,4,8.0,BB
2311067,3,CE 205,3,4.0,DD
2311067,3,CE 211,2,10.0,AA
2311067,3,CE 212,2,9.0,AB
2311067,3,CE 213,2,9.0,AB
2311067,3,MA 201,4,5.0,CD
2311069,3,CE 201,4,7.0,BC
2311069,3,CE 202,3,7.0,BC
2311069,3,CE 203,3,5.0,CD
2311069,3,CE 204,4,8.0,BB
2311069,3,CE 205,3,4.0,DD
2311069,3,CE 211,2,10.0,AA
2311069,3,CE 212,2,9.0,AB
2311069,3,CE 213,2,8.0,BB
2311069,3,MA 201,4,4.0,DD
2311070,3,CE 201,4,8.0,BB
2311070,3,CE 202,3,9.0,AB
2311070,3,CE 203,3,8.0,BB
2311070,3,CE 204,4,9.0,AB
2311070,3,CE 205,3,8.0,BB
2311070,3,CE 211,2,10.0,AA
2311070,3,CE 212,2,9.0,AB
2311070,3,CE 213,2,10.0,AA
2311070,3,MA 201,4,8.0,BB
2311071,3,CE 201,4,7.0,BC
2311071,3,CE 202,3,8.0,BB
2311071,3,CE 203,3,7.0,BC
2311071,3,CE 204,4,9.0,AB
2311071,3,CE 205,3,7.0,BC
2311071,3,CE 211,2,10.0,AA
2311071,3,CE 212,2,9.0,AB
2311071,3,CE 213,2,9.0,AB
2311071,3,MA 201,4,6.0,CC
2311072,3,CE 201,4,9.0,AB
2311072,3,CE 202,3,10.0,AA
2311072,3,CE 203,3,9.0,AB
2311072,3,CE 204,4,9.0,AB
2311072,3,CE 205,3,8.0,BB
2311072,3,CE 211,2,10.0,AA
2311072,3,CE 212,2,9.0,AB
2311072,3,CE 213,2,9.0,AB
2311072,3,MA 201,4,7.0,BC
2311073,3,CE 201,4,8.0,BB
2311073,3,CE 202,3,9.0,AB
2311073,3,CE 203,3,9.0,AB
2311073,3,CE 204,4,8.0,BB
2311073,3,CE 205,3,7.0,BC
2311073,3,CE 211,2,10.0,AA
2311073,3,CE 212,2,9.0,AB
2311073,3,CE 213,2,8.0,BB
2311073,3,MA 201,4,5.0,CD
2311074,3,CE 201,4,8.0,BB
2311074,3,CE 202,3,10.0,AA
2311074,3,CE 203,3,8.0,BB
2311074,3,CE 204,4,8.0,BB
2311074,3,CE 205,3,7.0,BC
2311074,3,CE 211,2,10.0,AA
2311074,3,CE 212,2,9.0,AB
2311074,3,CE 213,2,9.0,AB
2311074,3,MA 201,4,6.0,CC
2311075,3,CE 201,4,8.0,BB
2311075,3,CE 202,3,9.0,AB
2311075,3,CE 203,3,8.0,BB
2311075,3,CE 204,4,8.0,BB
2311075,3,CE 205,3,7.0,BC
2311075,3,CE 211,2,10.0,AA
2311075,3,CE 212,2,9.0,AB
2311075,3,CE 213,2,9.0,AB
2311075,3,MA 201,4,5.0,CD
2311076,3,CE 201,4,6.0,CC
2311076,3,CE 202,3,8.0,BB
2311076,3,CE 203,3,8.0,BB
2311076,3,CE 204,4,6.0,CC
2311076,3,CE 205,3,4.0,DD
2311076,3,CE 211,2,10.0,AA
2311076,3,CE 212,2,8.0,BB
2311076,3,CE 213,2,8.0,BB
2311076,3,MA 201,4,4.0,DD
2311077,3,CE 201,4,7.0,BC
2311077,3,CE 202,3,9.0,AB
2311077,3,CE 203,3,9.0,AB
2311077,3,CE 204,4,10.0,AA
2311077,3,CE 205,3,8.0,BB
2311077,3,CE 211,2,10.0,AA
2311077,3,CE 212,2,9.0,AB
2311077,3,CE 213,2,9.0,AB
2311077,3,MA 201,4,6.0,CC
2311078,3,CE 201,4,8.0,BB
2311078,3,CE 202,3,9.0,AB
2311078,3,CE 203,3,6.0,CC
2311078,3,CE 204,4,9.0,AB
2311078,3,CE 205,3,8.0,BB
2311078,3,CE 211,2,10.0,AA
2311078,3,CE 212,2,9.0,AB
2311078,3,CE 213,2,9.0,AB
2311078,3,MA 201,4,7.0,BC
2311079,3,CE 201,4,8.0,BB
2311079,3,CE 202,3,9.0,AB
2311079,3,CE 203,3,10.0,AA
2311079,3,CE 204,4,10.0,AA
2311079,3,CE 205,3,10.0,AA
2311079,3,CE 211,2,10.0,AA
2311079,3,CE 212,2,9.0,AB
2311079,3,CE 213,2,8.0,BB
2311079,3,MA 201,4,8.0,BB
2311080,3,CE 201,4,6.0,CC
2311080,3,CE 202,3,9.0,AB
2311080,3,CE 203,3,9.0,AB
2311080,3,CE 204,4,9.0,AB
2311080,3,CE 205,3,7.0,BC
2311080,3,CE 211,2,10.0,AA
2311080,3,CE 212,2,9.0,AB
2311080,3,CE 213,2,9.0,AB
2311080,3,MA 201,4,7.0,BC
2311081,3,CE 201,4,7.0,BC
2311081,3,CE 202,3,8.0,BB
2311081,3,CE 203,3,8.0,BB
2311081,3,CE 204,4,10.0,AA
2311081,3,CE 205,3,6.0,CC
2311081,3,CE 211,2,10.0,AA
2311081,3,CE 212,2,10.0,AA
2311081,3,CE 213,2,5.0,CD
2311081,3,MA 201,4,6.0,CC
2311082,3,CE 201,4,8.0,BB
2311082,3,CE 202,3,9.0,AB
2311082,3,CE 203,3,9.0,AB
2311082,3,CE 204,4,10.0,AA
2311082,3,CE 205,3,7.0,BC
2311082,3,CE 211,2,10.0,AA
2311082,3,CE 212,2,10.0,AA
2311082,3,CE 213,2,8.0,BB
2311082,3,MA 201,4,8.0,BB
2311083,3,CE 201,4,6.0,CC
2311083,3,CE 202,3,7.0,BC
2311083,3,CE 203,3,7.0,BC
2311083,3,CE 204,4,10.0,AA
2311083,3,CE 205,3,6.0,CC
2311083,3,CE 211,2,10.0,AA
2311083,3,CE 212,2,10.0,AA
2311083,3,CE 213,2,9.0,AB
2311083,3,MA 201,4,5.0,CD
2311084,3,CE 201,4,6.0,CC
2311084,3,CE 202,3,9.0,AB
