Slno,Regn. No.,"CE
102",(3),"CH
101",(4),"CH
111",(2),"CS
101",(4),"CS
111",(2),EAA01,(0),EAA02,(0),"EC
101",(4),"EC
111",(2),"MA
102",(4),"ME
111",(2),GP,SGPA,CGPA,EAA
125,2311126,6,CC,6,CC,9,AB,8,BB,7,BC,,,,,6,CC,9,AB,5,CD,6,CC,180,6.67,6.16,-
126,2311127,9,AB,7,BC,9,AB,7,BC,8,BB,,,,,7,BC,8,BB,5,CD,6,CC,193,7.15,6.67,-
127,2311128,9,AB,8,BB,10,AA,8,BB,9,AB,,,,,7,BC,9,AB,8,BB,9,AB,225,8.33,8.35,-
128,2311130,6,CC,5,CD,9,AB,8,BB,10,AA,,,,,5,CD,9,AB,7,BC,6,CC,186,6.89,6.45,-
129,2311131,7,BC,6,CC,9,AB,6,CC,7,BC,,,,,5,CD,9,AB,6,CC,8,BB,179,6.63,5.89,-
130,2311132,7,BC,6,CC,9,AB,7,BC,7,BC,,,,,7,BC,9,AB,7,BC,7,BC,193,7.15,6.96,-
131,2311133,9,AB,9,AB,10,AA,9,AB,10,AA,,,,,8,BB,10,AA,10,AA,10,AA,251,9.30,8.65,-
132,2311134,8,BB,7,BC,10,AA,8,BB,10,AA,,,,,8,BB,10,AA,7,BC,8,BB,220,8.15,7.56,-
133,2311135,6,CC,6,CC,10,AA,8,BB,7,BC,,,,,6,CC,9,AB,6,CC,6,CC,186,6.89,6.65,-
134,2311136,8,BB,6,CC,10,AA,8,BB,7,BC,,,,,7,BC,9,AB,7,BC,8,BB,204,7.56,7.44,-
135,2311137,7,BC,8,BB,10,AA,9,AB,10,AA,,,,,7,BC,10,AA,9,AB,8,BB,229,8.48,8.18,-
136,2311138,8,BB,8,BB,10,AA,9,AB,10,AA,,,,,7,BC,9,AB,7,BC,8,BB,222,8.22,8.02,-
137,2311139,4,DD,0,F,9,AB,0,F,6,CC,,,,,4,DD,8,BB,0,F,6,CC,86,3.19,3.04,-
138,2311140,10,AA,8,BB,10,AA,10,AA,10,AA,,,,,9,AB,10,AA,9,AB,9,AB,252,9.33,9.45,-
139,2311141,10,AA,7,BC,9,AB,8,BB,10,AA,,,,,7,BC,10,AA,8,BB,9,AB,226,8.37,7.89,-
140,2311142,8,BB,9,AB,10,AA,9,AB,10,AA,,,,,7,BC,9,AB,8,BB,9,AB,232,8.59,7.53,-
141,2311143,8,BB,8,BB,10,AA,7,BC,10,AA,,,,,7,BC,10,AA,8,BB,9,AB,222,8.22,7.85,-
142,2311144,7,BC,7,BC,10,AA,6,CC,9,AB,,,,,6,CC,9,AB,7,BC,7,BC,195,7.22,7.07,-
143,2311145,7,BC,7,BC,10,AA,6,CC,8,BB,,,,,5,CD,8,BB,5,CD,6,CC,177,6.56,6.67,-
